Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value
01467,ZCTA5 01467,560.0,51.0,131667.0,47052.0,84.0,15.0,-666666666.0,513400.0
01468,ZCTA5 01468,3704.0,47.7,62589.0,37560.0,201.0,5.426565874730022,-666666666.0,209000.0
01469,ZCTA5 01469,7430.0,39.3,81317.0,35376.0,373.0,5.020188425302826,712.0,258100.0
01473,ZCTA5 01473,7480.0,44.7,96953.0,41812.0,210.0,2.807486631016043,982.0,270400.0
01474,ZCTA5 01474,1939.0,46.2,98221.0,50984.0,52.0,2.6817947395564725,950.0,277900.0
01475,ZCTA5 01475,10613.0,42.3,61998.0,27530.0,1225.0,11.542447941204184,762.0,186400.0
01501,ZCTA5 01501,16239.0,45.7,71976.0,35524.0,717.0,4.41529650840569,855.0,240700.0
01503,ZCTA5 01503,3061.0,47.3,97614.0,47905.0,102.0,3.3322443645867366,839.0,376100.0
01504,ZCTA5 01504,9068.0,41.1,75544.0,33253.0,501.0,5.524922805469783,758.0,261400.0
01505,ZCTA5 01505,4480.0,44.5,93197.0,47595.0,151.0,3.3705357142857144,909.0,347900.0
01506,ZCTA5 01506,3386.0,41.5,63906.0,34450.0,363.0,10.720614294152393,801.0,217200.0
01507,ZCTA5 01507,13292.0,43.7,92227.0,37512.0,605.0,4.551609990972013,768.0,280100.0
01510,ZCTA5 01510,13759.0,39.3,60755.0,30955.0,1354.0,9.840831455774403,896.0,242800.0
01515,ZCTA5 01515,2259.0,42.2,80714.0,34639.0,106.0,4.6923417441345725,690.0,236100.0
01516,ZCTA5 01516,8689.0,41.5,88958.0,35436.0,268.0,3.084359535044309,921.0,274000.0
01518,ZCTA5 01518,3009.0,43.0,53664.0,38091.0,179.0,5.948820206048521,635.0,334700.0
01519,ZCTA5 01519,6548.0,42.3,114615.0,47905.0,273.0,4.1692119731215636,979.0,378000.0
01520,ZCTA5 01520,14880.0,41.5,99575.0,41699.0,490.0,3.293010752688172,987.0,290400.0
01521,ZCTA5 01521,2374.0,45.1,75658.0,35363.0,120.0,5.054759898904802,856.0,203200.0
01522,ZCTA5 01522,3380.0,41.7,102602.0,42394.0,248.0,7.337278106508876,736.0,283900.0
01523,ZCTA5 01523,7811.0,38.2,97958.0,33078.0,521.0,6.670080655485854,867.0,304300.0
01524,ZCTA5 01524,6649.0,45.1,60288.0,32164.0,530.0,7.9711234772146184,771.0,220800.0
01525,ZCTA5 01525,128.0,48.6,82361.0,40023.0,0.0,0.0,-666666666.0,208700.0
01527,ZCTA5 01527,13431.0,42.8,72566.0,34857.0,896.0,6.671133943861217,838.0,261200.0
01529,ZCTA5 01529,3218.0,41.5,91250.0,34255.0,225.0,6.991920447482909,880.0,291800.0
01531,ZCTA5 01531,1106.0,48.0,81389.0,36314.0,64.0,5.786618444846293,950.0,272400.0
01532,ZCTA5 01532,14846.0,43.2,110147.0,46860.0,465.0,3.1321568099151285,1145.0,379900.0
01534,ZCTA5 01534,6406.0,44.3,95238.0,44261.0,499.0,7.789572275991258,691.0,327100.0
01535,ZCTA5 01535,4761.0,44.1,70873.0,30530.0,245.0,5.1459777357697964,749.0,233100.0
01536,ZCTA5 01536,7557.0,41.4,94766.0,41970.0,651.0,8.614529575228266,954.0,322300.0
01537,ZCTA5 01537,2671.0,33.3,76114.0,28702.0,364.0,13.627854736053912,782.0,194700.0
01540,ZCTA5 01540,10921.0,41.2,60852.0,29422.0,1046.0,9.57787748374691,693.0,236900.0
01541,ZCTA5 01541,3451.0,45.8,121500.0,54940.0,226.0,6.548826427122573,841.0,368500.0
01542,ZCTA5 01542,2366.0,47.0,94103.0,36454.0,27.0,1.1411665257819104,924.0,239300.0
01543,ZCTA5 01543,8402.0,39.5,95347.0,36917.0,182.0,2.1661509164484647,808.0,279600.0
01545,ZCTA5 01545,36103.0,40.8,99441.0,44402.0,1391.0,3.852865412846578,1116.0,384400.0
01550,ZCTA5 01550,16824.0,38.5,48762.0,24724.0,2728.0,16.214931050879695,735.0,185400.0
01560,ZCTA5 01560,4504.0,36.8,80078.0,39644.0,339.0,7.5266429840142095,941.0,354600.0
01561,ZCTA5 01561,249.0,59.6,-666666666.0,31381.0,16.0,6.42570281124498,-666666666.0,-666666666.0
01562,ZCTA5 01562,11801.0,42.5,65858.0,30409.0,1320.0,11.185492754851284,651.0,248000.0
01564,ZCTA5 01564,7954.0,44.9,104187.0,47551.0,433.0,5.443801860699019,1097.0,340600.0
01566,ZCTA5 01566,6442.0,43.1,98000.0,43514.0,162.0,2.5147469729897547,1011.0,266500.0
01568,ZCTA5 01568,7532.0,40.8,115348.0,45515.0,361.0,4.7928836962294215,859.0,399800.0
01569,ZCTA5 01569,13881.0,39.4,90204.0,34655.0,1122.0,8.082991138966934,970.0,271600.0
01570,ZCTA5 01570,16838.0,40.7,51229.0,26356.0,2170.0,12.887516332105951,721.0,209500.0
01571,ZCTA5 01571,11608.0,38.0,62567.0,29785.0,948.0,8.166781529979325,733.0,250300.0
01581,ZCTA5 01581,18706.0,40.1,106915.0,46782.0,857.0,4.581417726932535,1279.0,432000.0
01583,ZCTA5 01583,7602.0,38.8,74020.0,27467.0,389.0,5.1170744540910285,805.0,268700.0
01585,ZCTA5 01585,4606.0,49.1,61298.0,31640.0,316.0,6.860616587060356,1061.0,219800.0
01588,ZCTA5 01588,9731.0,38.5,60429.0,31274.0,791.0,8.128660980372008,791.0,250800.0
01590,ZCTA5 01590,9184.0,44.0,99692.0,41891.0,186.0,2.025261324041812,720.0,356500.0
01602,ZCTA5 01602,23812.0,40.3,62709.0,33417.0,2979.0,12.510498908113556,969.0,218600.0
01603,ZCTA5 01603,20505.0,36.3,40967.0,22724.0,4471.0,21.804437941965375,819.0,179300.0
01604,ZCTA5 01604,35866.0,34.8,50426.0,26263.0,6897.0,19.229911336641944,895.0,209800.0
01605,ZCTA5 01605,28696.0,31.3,35446.0,20729.0,7360.0,25.64817396152774,805.0,195100.0
01606,ZCTA5 01606,19258.0,40.4,65163.0,34426.0,1910.0,9.917956174057535,851.0,210600.0
01607,ZCTA5 01607,8636.0,35.4,47068.0,25439.0,1695.0,19.627142195460863,849.0,175600.0
01608,ZCTA5 01608,3511.0,27.5,18843.0,12874.0,1764.0,50.24209626886927,708.0,-666666666.0
01609,ZCTA5 01609,19982.0,30.6,42863.0,27559.0,3933.0,19.682714442998698,823.0,291700.0
01610,ZCTA5 01610,23919.0,28.3,31182.0,15359.0,7129.0,29.804757723985116,828.0,169000.0
01611,ZCTA5 01611,2466.0,41.3,81971.0,34645.0,113.0,4.582319545823196,871.0,227600.0
01612,ZCTA5 01612,4889.0,38.8,94135.0,37695.0,156.0,3.190836571896093,749.0,281800.0
01701,ZCTA5 01701,32061.0,44.7,100788.0,47041.0,1442.0,4.497676304544462,1241.0,377300.0
01702,ZCTA5 01702,38781.0,34.3,51137.0,28353.0,6187.0,15.953688661973647,1092.0,312600.0
01718,ZCTA5 01718,526.0,41.1,131484.0,59295.0,56.0,10.64638783269962,-666666666.0,261000.0
01719,ZCTA5 01719,5287.0,41.6,103556.0,57192.0,247.0,4.671836580291281,906.0,500200.0
01720,ZCTA5 01720,22638.0,43.4,131413.0,59593.0,651.0,2.87569573283859,1226.0,540400.0
01721,ZCTA5 01721,17420.0,42.1,103700.0,50097.0,655.0,3.760045924225029,1111.0,372400.0
01730,ZCTA5 01730,14018.0,43.3,117688.0,55262.0,385.0,2.746468825795406,1522.0,595600.0
01731,ZCTA5 01731,1957.0,21.6,84333.0,25069.0,94.0,4.803270311701584,2522.0,-666666666.0
01740,ZCTA5 01740,5113.0,42.3,151023.0,54767.0,79.0,1.5450811656561705,972.0,476600.0
01741,ZCTA5 01741,5125.0,49.6,167400.0,83920.0,113.0,2.204878048780488,2085.0,757900.0
01742,ZCTA5 01742,19448.0,45.9,137991.0,68106.0,919.0,4.725421637186343,1730.0,729200.0
01745,ZCTA5 01745,482.0,33.5,120766.0,34163.0,0.0,0.0,-666666666.0,391000.0
01746,ZCTA5 01746,14324.0,42.5,110295.0,48394.0,291.0,2.031555431443731,794.0,399900.0
01747,ZCTA5 01747,5942.0,44.1,99792.0,41244.0,119.0,2.002692696061932,1002.0,311800.0
01748,ZCTA5 01748,16257.0,41.0,143190.0,60782.0,418.0,2.5712000984191423,1403.0,536100.0
01749,ZCTA5 01749,19680.0,43.4,80574.0,38275.0,1270.0,6.453252032520325,981.0,310100.0
01752,ZCTA5 01752,39545.0,39.6,72222.0,36782.0,2830.0,7.156404096598812,1088.0,316500.0
01754,ZCTA5 01754,10526.0,42.3,90134.0,46941.0,960.0,9.120273608208246,955.0,327600.0
01756,ZCTA5 01756,5963.0,44.5,121298.0,47850.0,33.0,0.5534127117222875,1181.0,403500.0
01757,ZCTA5 01757,28600.0,39.3,73117.0,35343.0,2167.0,7.576923076923077,920.0,285900.0
01760,ZCTA5 01760,35133.0,40.9,104600.0,52377.0,1161.0,3.3045854324993598,1173.0,474500.0
01770,ZCTA5 01770,4255.0,45.2,158250.0,73986.0,150.0,3.525264394829612,1083.0,716800.0
01772,ZCTA5 01772,9486.0,42.5,147216.0,64334.0,397.0,4.185114906177525,1109.0,582900.0
01773,ZCTA5 01773,4793.0,53.0,143505.0,91150.0,204.0,4.256206968495723,1616.0,870500.0
01775,ZCTA5 01775,7027.0,43.6,146799.0,55315.0,305.0,4.340401309235805,1579.0,452600.0
01776,ZCTA5 01776,18594.0,43.8,164013.0,73702.0,345.0,1.8554372378186512,732.0,650200.0
01778,ZCTA5 01778,13697.0,45.9,157005.0,75193.0,594.0,4.336716069212236,1069.0,638300.0
01801,ZCTA5 01801,39775.0,39.4,84479.0,37573.0,2791.0,7.016970458830924,1312.0,374300.0
01803,ZCTA5 01803,25698.0,42.5,92141.0,41548.0,1330.0,5.175500038913534,1568.0,439400.0
01810,ZCTA5 01810,34963.0,41.9,134627.0,59241.0,1494.0,4.273088693761977,1235.0,580000.0
01821,ZCTA5 01821,31780.0,40.7,100158.0,39661.0,1281.0,4.030837004405286,1211.0,358300.0
01824,ZCTA5 01824,25803.0,44.7,109638.0,48287.0,823.0,3.189551602526838,1224.0,373200.0
01826,ZCTA5 01826,30855.0,38.6,86884.0,35509.0,1759.0,5.70085885593907,1112.0,291300.0
01827,ZCTA5 01827,3310.0,46.3,118984.0,51292.0,78.0,2.3564954682779455,1250.0,436600.0
01830,ZCTA5 01830,25882.0,39.9,57917.0,30606.0,3981.0,15.381346109265126,934.0,271100.0
01832,ZCTA5 01832,23305.0,37.6,63078.0,30809.0,2788.0,11.963098047629265,933.0,253900.0
01833,ZCTA5 01833,8514.0,44.3,106016.0,46138.0,175.0,2.0554381019497296,1147.0,409200.0
01834,ZCTA5 01834,6681.0,45.0,96512.0,40327.0,111.0,1.6614279299506063,1153.0,372600.0
01835,ZCTA5 01835,13153.0,38.5,71827.0,32897.0,1086.0,8.256671481791226,1054.0,267300.0
