Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
92408,San Bernardino,CA,San Bernardino,200100,201600,204000,208300,211200,211800,212400,214400,216400,219100,221600,224300
92320,Calimesa,CA,Riverside,279000,280700,283900,288000,292900,298600,303100,305900,308200,310600,311800,312200
92610,Lake Forest,CA,Orange,686200,688800,691300,691200,688500,686500,687000,688600,690800,694400,698700,702800
94925,Corte Madera,CA,Marin,1223300,1240000,1243600,1238200,1235800,1240500,1247300,1251500,1254000,1254300,1254500,1258600
90211,Beverly Hills,CA,Los Angeles,1891200,1896800,1902300,1911000,1917900,1912700,1911900,1926000,1960200,1984300,1997200,2018000
92315,Big Bear Lake,CA,San Bernardino,294900,296100,297700,299700,301300,301500,301000,301800,302600,302800,302600,303800
95326,Hughson,CA,Stanislaus,291600,294200,295000,295200,297500,300400,302900,304600,306200,308000,309700,310500
93428,Cambria,CA,San Luis Obispo,622400,622300,621200,620300,619800,618100,613100,609000,609800,613100,617600,625600
90077,Los Angeles,CA,Los Angeles,2248600,2261700,2274100,2289600,2301100,2309600,2330100,2356600,2377700,2387000,2397900,2419100
92276,Thousand Palms,CA,Riverside,209400,209000,209400,210700,212300,213200,214400,215600,215800,216400,218000,219000
95640,Ione,CA,Amador,250000,250800,251800,253500,255000,256400,258200,260100,262100,265400,269200,272800
95018,Felton,CA,Santa Cruz,526600,531700,539300,545300,550900,556200,562100,569900,577100,577500,575500,579900
90248,Los Angeles,CA,Los Angeles,457300,460700,465100,473100,479000,481900,486200,491700,498000,504500,511400,516900
95642,Jackson,CA,Amador,266100,268100,269900,272200,274100,276200,278000,279800,282000,285700,289000,292100
95315,Delhi,CA,Merced,187000,188700,191300,194500,197200,200000,203700,207700,210700,212400,214200,216600
90716,Hawaiian Gardens,CA,Los Angeles,326500,325800,326500,328000,328900,329700,331600,335300,339300,342800,347500,355000
95386,Waterford,CA,Stanislaus,209500,213200,215600,216500,217600,219300,221500,223300,225100,226800,228300,229600
95988,Willows,CA,Glenn,158300,158500,158800,159500,160000,159900,159700,159600,160400,161600,162800,163800
94930,Fairfax,CA,Marin,836700,833700,830300,825900,826900,833700,840100,839600,840500,845900,856800,871900
95713,Colfax,CA,Placer,289800,296100,302800,306600,308000,309500,312400,314600,315900,318100,321400,324400
93250,Mc Farland,CA,Kern,161000,160300,158000,156000,157100,160400,163000,163700,163700,163400,163600,163900
92371,Phelan,CA,San Bernardino,232400,233100,234300,235400,236600,238700,241000,243400,245800,248500,250300,252100
94515,Calistoga,CA,Napa,666300,679000,686100,690600,699900,709300,710600,716200,725600,727500,719700,713000
